Function,Total Number,N,Execution Time
Main,19000,610,0.828453
Main,19000,620,0.822851
Main,19000,630,0.824272
Main,19000,640,0.828228
Main,19000,650,0.828184
Main,19000,660,0.848425
Main,19000,670,0.826702
Main,19000,680,0.829638
Main,19000,690,0.826813
Main,19000,700,0.825582
Main,19000,710,0.826939
Main,19000,720,0.833445
Main,19000,730,0.824636
Main,19000,740,0.831617
Main,19000,750,0.830358
Main,19000,760,0.830696
Main,19000,770,0.830630
Main,19000,780,0.834215
Main,19000,790,0.831402
Main,19000,800,0.830929
Main,19000,810,0.831315
Main,19000,820,0.834587
Main,19000,830,0.831964
Main,19000,840,0.834381
Main,19000,850,0.832001
Main,19000,860,0.835268
Main,19000,870,0.835668
Main,19000,880,0.835450
Main,19000,890,0.834777
Main,19000,900,0.836942
Main,19000,910,0.837620
Main,19000,920,0.841919
Main,19000,930,0.834523
Main,19000,940,0.836064
Main,19000,950,0.836567
Main,19000,960,0.838149
Main,19000,970,0.839042
Main,19000,980,0.837737
Main,19000,990,0.844857
Main,19000,1000,0.842789
EC2,19100,10,0.181467
EC2,19100,20,0.192617
EC2,19100,30,0.206281
EC2,19100,40,0.223387
EC2,19100,50,0.243225
EC2,19100,60,0.266060
EC2,19100,70,0.288225
EC2,19100,80,0.315096
EC2,19100,90,0.345100
EC2,19100,100,0.378347
EC2,19100,110,0.413198
EC2,19100,120,0.451028
EC2,19100,130,0.492118
EC2,19100,140,0.533964
EC2,19100,150,0.579560
EC2,19100,160,0.626812
EC2,19100,170,0.675410
EC2,19100,180,0.731019
EC2,19100,190,0.780871
EC2,19100,200,0.836776
EC2,19100,210,0.911592
EC2,19100,220,0.955367
EC2,19100,230,1.018151
EC2,19100,240,1.082481
EC2,19100,250,1.148929
EC2,19100,260,1.215270
EC2,19100,270,1.289457
EC2,19100,280,1.357667
EC2,19100,290,1.431897
EC2,19100,300,1.506592
EC2,19100,310,1.584337
EC2,19100,320,1.665309
EC2,19100,330,1.747705
EC2,19100,340,1.831446
EC2,19100,350,1.916074
EC2,19100,360,2.003333
EC2,19100,370,2.092172
EC2,19100,380,2.180697
EC2,19100,390,2.274696
EC2,19100,400,2.368155
EC2,19100,410,2.463535
EC2,19100,420,2.561806
EC2,19100,430,2.660056
EC2,19100,440,2.760585
EC2,19100,450,2.862831
EC2,19100,460,2.965932
EC2,19100,470,3.070764
EC2,19100,480,3.177436
EC2,19100,490,3.301787
EC2,19100,500,3.396166
EC2,19100,510,3.507683
EC2,19100,520,3.623136
EC2,19100,530,3.737191
EC2,19100,540,3.852836
EC2,19100,550,3.971510
EC2,19100,560,4.091591
EC2,19100,570,4.213093
EC2,19100,580,4.335928
EC2,19100,590,4.459689
EC2,19100,600,4.585528
EC2,19100,610,4.712966
EC2,19100,620,4.841431
EC2,19100,630,4.989697
EC2,19100,640,5.106260
EC2,19100,650,5.291119
EC2,19100,660,5.377687
EC2,19100,670,5.514071
EC2,19100,680,5.651789
EC2,19100,690,5.790913
EC2,19100,700,5.931010
EC2,19100,710,6.073489
EC2,19100,720,6.216123
EC2,19100,730,6.360655
EC2,19100,740,6.515660
EC2,19100,750,6.652815
EC2,19100,760,6.800749
EC2,19100,770,6.950620
EC2,19100,780,7.102654
EC2,19100,790,7.259061
EC2,19100,800,7.411858
EC2,19100,810,7.564507
EC2,19100,820,7.736898
EC2,19100,830,7.882003
EC2,19100,840,8.036208
EC2,19100,850,8.198652
EC2,19100,860,8.355917
EC2,19100,870,8.521541
EC2,19100,880,8.687162
EC2,19100,890,8.867594
EC2,19100,900,9.011848
EC2,19100,910,9.180074
EC2,19100,920,9.346053
EC2,19100,930,9.514128
EC2,19100,940,9.688431
EC2,19100,950,9.866098
EC2,19100,960,10.032470
EC2,19100,970,10.205521
EC2,19100,980,10.379307
EC2,19100,990,10.551915
EC2,19100,1000,10.729850
Main,19100,10,0.789118
Main,19100,20,0.792298
Main,19100,30,0.795049
Main,19100,40,0.789255
Main,19100,50,0.793041
Main,19100,60,0.793052
Main,19100,70,0.794663
Main,19100,80,0.795720
Main,19100,90,0.801063
Main,19100,100,0.804717
Main,19100,110,0.796280
Main,19100,120,0.794217
Main,19100,130,0.797747
Main,19100,140,0.800688
Main,19100,150,0.801707
Main,19100,160,0.802274
Main,19100,170,0.801200
Main,19100,180,0.802461
Main,19100,190,0.803963
Main,19100,200,0.805810
Main,19100,210,0.802339
Main,19100,220,0.805561
Main,19100,230,0.804264
Main,19100,240,0.810549
Main,19100,250,0.805303
Main,19100,260,0.808638
Main,19100,270,0.808029
Main,19100,280,0.807955
Main,19100,290,0.808158
Main,19100,300,0.810657
Main,19100,310,0.809793
Main,19100,320,0.808662
Main,19100,330,0.814723
Main,19100,340,0.812948
Main,19100,350,0.810819
Main,19100,360,0.816503
Main,19100,370,0.814914
Main,19100,380,0.815629
Main,19100,390,0.817638
Main,19100,400,0.817069
Main,19100,410,0.818499
Main,19100,420,0.816616
Main,19100,430,0.817668
Main,19100,440,0.818921
Main,19100,450,0.817542
Main,19100,460,0.824916
Main,19100,470,0.819651
Main,19100,480,0.821086
Main,19100,490,0.820965
Main,19100,500,0.818427
Main,19100,510,0.821278
Main,19100,520,0.823002
Main,19100,530,0.823264
Main,19100,540,0.823185
Main,19100,550,0.822964
Main,19100,560,0.823410
Main,19100,570,0.824439
Main,19100,580,0.824952
Main,19100,590,0.824505
Main,19100,600,0.827912
Main,19100,610,0.826501
Main,19100,620,0.826943
Main,19100,630,0.825249
Main,19100,640,0.827803
Main,19100,650,0.828114
Main,19100,660,0.827923
Main,19100,670,0.831161
Main,19100,680,0.827616
Main,19100,690,0.833659
Main,19100,700,0.833332
Main,19100,710,0.829514
Main,19100,720,0.834596
Main,19100,730,0.829524
Main,19100,740,0.832436
Main,19100,750,0.833977
Main,19100,760,0.837258
Main,19100,770,0.832237
Main,19100,780,0.836675
Main,19100,790,0.836657
Main,19100,800,0.838599
Main,19100,810,0.832598
Main,19100,820,0.839593
Main,19100,830,0.836147
Main,19100,840,0.837862
Main,19100,850,0.838323
Main,19100,860,0.843527
Main,19100,870,0.844547
Main,19100,880,0.842937
Main,19100,890,0.838409
Main,19100,900,0.841498
Main,19100,910,0.842955
Main,19100,920,0.837437
Main,19100,930,0.840196
Main,19100,940,0.843007
Main,19100,950,0.843431
Main,19100,960,0.846005
Main,19100,970,0.846823
Main,19100,980,0.845304
Main,19100,990,0.845357
Main,19100,1000,0.841862
EC2,19200,10,0.183756
EC2,19200,20,0.194192
EC2,19200,30,0.207998
EC2,19200,40,0.224851
EC2,19200,50,0.244788
EC2,19200,60,0.267822
