Function,Total Number,N,Execution Time
EC2,600,50,0.000922,
EC2,600,60,0.002340,
EC2,600,70,0.002408,
EC2,600,80,0.001316,
EC2,600,90,0.001408,
EC2,600,100,0.001582,
EC2,600,110,0.005643,
EC2,600,120,0.001941,
EC2,600,130,0.002113,
EC2,600,140,0.002261,
EC2,600,150,0.002420,
EC2,600,160,0.002581,
EC2,600,170,0.002787,
EC2,600,180,0.003016,
EC2,600,190,0.007739,
EC2,600,200,0.009456,
EC2,600,210,0.003573,
EC2,600,220,0.003781,
EC2,600,230,0.004005,
EC2,600,240,0.004189,
EC2,600,250,0.004413,
EC2,600,260,0.004633,
EC2,600,270,0.004756,
EC2,600,280,0.004928,
EC2,600,290,0.010311,
EC2,600,300,0.005322,
EC2,600,310,0.005484,
EC2,600,320,0.005676,
EC2,600,330,0.005822,
EC2,600,340,0.005961,
EC2,600,350,0.007540,
EC2,600,360,0.011830,
EC2,600,370,0.012037,
EC2,600,380,0.006586,
EC2,600,390,0.012099,
EC2,600,400,0.006886,
EC2,600,410,0.007060,
EC2,600,420,0.007242,
EC2,600,430,0.007344,
EC2,600,440,0.007441,
EC2,600,450,0.008894,
EC2,600,460,0.007631,
EC2,600,470,0.007730,
EC2,600,480,0.013103,
EC2,600,490,0.016311,
EC2,600,500,0.016005,
EC2,600,510,0.011898,
EC2,600,520,0.011634,
EC2,600,530,0.008211,
EC2,600,540,0.008273,
EC2,600,550,0.008321,
EC2,600,560,0.008424,
EC2,600,570,0.009783,
EC2,600,580,0.013446,
EC2,600,590,0.013427,
EC2,600,600,0.013196,
Main,600,10,0.002090,
Main,600,20,0.004421,
Main,600,30,0.002160,
Main,600,40,0.000771,
Main,600,50,0.000717,
Main,600,60,0.000741,
Main,600,70,0.000751,
Main,600,80,0.000788,
Main,600,90,0.000739,
Main,600,100,0.000770,
Main,600,110,0.000746,
Main,600,120,0.000783,
Main,600,130,0.000750,
Main,600,140,0.002193,
Main,600,150,0.002353,
Main,600,160,0.000798,
Main,600,170,0.000743,
Main,600,180,0.002212,
Main,600,190,0.000785,
Main,600,200,0.000812,
Main,600,210,0.002374,
Main,600,220,0.000789,
Main,600,230,0.000764,
Main,600,240,0.004562,
Main,600,250,0.000799,
Main,600,260,0.000809,
Main,600,270,0.000768,
Main,600,280,0.000789,
Main,600,290,0.004455,
Main,600,300,0.000800,
Main,600,310,0.000787,
Main,600,320,0.000806,
Main,600,330,0.000786,
Main,600,340,0.009786,
Main,600,350,0.009975,
Main,600,360,0.000832,
Main,600,370,0.000838,
Main,600,380,0.000816,
Main,600,390,0.000847,
Main,600,400,0.000814,
Main,600,410,0.000811,
Main,600,420,0.000816,
Main,600,430,0.004211,
Main,600,440,0.000759,
Main,600,450,0.004294,
Main,600,460,0.007026,
Main,600,470,0.012639,
Main,600,480,0.006732,
Main,600,490,0.009749,
Main,600,500,0.000814,
Main,600,510,0.000796,
Main,600,520,0.000807,
Main,600,530,0.000800,
Main,600,540,0.009618,
Main,600,550,0.004246,
Main,600,560,0.000766,
Main,600,570,0.000771,
Main,600,580,0.000738,
Main,600,590,0.000702,
Main,600,600,0.000720,
EC2,700,10,0.009923,
EC2,700,20,0.008322,
EC2,700,30,0.004993,
EC2,700,40,0.000875,
EC2,700,50,0.000953,
EC2,700,60,0.001153,
EC2,700,70,0.001268,
EC2,700,80,0.001493,
EC2,700,90,0.001640,
EC2,700,100,0.001885,
EC2,700,110,0.002038,
EC2,700,120,0.002291,
EC2,700,130,0.003971,
EC2,700,140,0.006725,
EC2,700,150,0.004340,
EC2,700,160,0.010099,
EC2,700,170,0.009541,
EC2,700,180,0.008420,
EC2,700,190,0.010553,
EC2,700,200,0.004225,
EC2,700,210,0.004525,
EC2,700,220,0.004766,
EC2,700,230,0.007845,
EC2,700,240,0.005286,
EC2,700,250,0.005548,
EC2,700,260,0.011199,
EC2,700,270,0.006059,
EC2,700,280,0.010495,
EC2,700,290,0.011392,
EC2,700,300,0.006871,
EC2,700,310,0.007109,
EC2,700,320,0.007306,
EC2,700,330,0.009015,
EC2,700,340,0.007874,
EC2,700,350,0.008125,
EC2,700,360,0.008323,
EC2,700,370,0.008570,
EC2,700,380,0.008806,
EC2,700,390,0.010403,
EC2,700,400,0.009279,
EC2,700,410,0.010867,
EC2,700,420,0.015853,
EC2,700,430,0.009879,
EC2,700,440,0.011509,
EC2,700,450,0.010316,
EC2,700,460,0.010513,
EC2,700,470,0.010678,
EC2,700,480,0.010839,
EC2,700,490,0.011038,
EC2,700,500,0.014406,
EC2,700,510,0.011400,
EC2,700,520,0.017913,
EC2,700,530,0.011706,
EC2,700,540,0.011879,
EC2,700,550,0.012017,
EC2,700,560,0.015110,
EC2,700,570,0.012300,
EC2,700,580,0.014959,
EC2,700,590,0.012450,
EC2,700,600,0.014568,
EC2,700,610,0.018759,
EC2,700,620,0.012736,
EC2,700,630,0.012859,
EC2,700,640,0.013827,
EC2,700,650,0.016231,
EC2,700,660,0.014347,
EC2,700,670,0.018851,
EC2,700,680,0.013062,
EC2,700,690,0.018721,
EC2,700,700,0.013001,
Main,700,10,0.001006,
Main,700,20,0.000875,
Main,700,30,0.000819,
Main,700,40,0.000820,
Main,700,50,0.000899,
Main,700,60,0.000904,
Main,700,70,0.000863,
Main,700,80,0.000841,
Main,700,90,0.000861,
Main,700,100,0.000903,
Main,700,110,0.000890,
Main,700,120,0.002211,
Main,700,130,0.002308,
Main,700,140,0.000881,
Main,700,150,0.000921,
Main,700,160,0.002257,
Main,700,170,0.000867,
Main,700,180,0.000915,
Main,700,190,0.000879,
Main,700,200,0.002257,
Main,700,210,0.000896,
Main,700,220,0.002486,
Main,700,230,0.000897,
Main,700,240,0.000884,
Main,700,250,0.000869,
Main,700,260,0.000900,
Main,700,270,0.000963,
Main,700,280,0.010026,
Main,700,290,0.000887,
Main,700,300,0.000858,
Main,700,310,0.002296,
Main,700,320,0.000904,
Main,700,330,0.000958,
Main,700,340,0.002211,
Main,700,350,0.000925,
Main,700,360,0.000890,
Main,700,370,0.000864,
Main,700,380,0.000907,
Main,700,390,0.000885,
Main,700,400,0.000893,
Main,700,410,0.000879,
Main,700,420,0.000947,
Main,700,430,0.000969,
Main,700,440,0.007529,
Main,700,450,0.000935,
Main,700,460,0.000889,
Main,700,470,0.000895,
Main,700,480,0.000947,
Main,700,490,0.000896,
Main,700,500,0.005377,
Main,700,510,0.000921,
Main,700,520,0.006837,
Main,700,530,0.014475,
Main,700,540,0.002323,
Main,700,550,0.000958,
Main,700,560,0.006790,
Main,700,570,0.001594,
Main,700,580,0.000914,
Main,700,590,0.005182,
Main,700,600,0.000927,
Main,700,610,0.000891,
Main,700,620,0.000909,
Main,700,630,0.000928,
Main,700,640,0.004724,
Main,700,650,0.000863,
Main,700,660,0.000859,
Main,700,670,0.000859,
Main,700,680,0.000901,
Main,700,690,0.000887,
Main,700,700,0.000817,
EC2,800,10,0.007707,
EC2,800,20,0.004425,
EC2,800,30,0.002163,
